import time: self [us] | cumulative | imported package
import time:       144 |        144 |   _io
import time:        23 |         23 |   marshal
import time:       194 |        194 |   posix
import time:       432 |        792 | _frozen_importlib_external
import time:        59 |         59 |   time
import time:       157 |        215 | zipimport
import time:        32 |         32 |     _codecs
import time:       375 |        407 |   codecs
import time:       294 |        294 |   encodings.aliases
import time:       345 |       1045 | encodings
import time:       115 |        115 | encodings.utf_8
import time:        61 |         61 | _signal
import time:        20 |         20 |       _abc
import time:       105 |        125 |     abc
import time:        25 |         25 |       _stat
import time:        58 |         82 |     stat
import time:       656 |        656 |     _collections_abc
import time:        41 |         41 |       errno
import time:        70 |         70 |       genericpath
import time:       106 |        215 |     posixpath
import time:       337 |       1413 |   os
import time:        72 |         72 |   _sitebuiltins
import time:       150 |        150 |   encodings.utf_8_sig
import time:        67 |         67 |         itertools
import time:        62 |         62 |         keyword
import time:        40 |         40 |           _operator
import time:       161 |        201 |         operator
import time:        94 |         94 |         reprlib
import time:        35 |         35 |         _collections
import time:       602 |       1058 |       collections
import time:        24 |         24 |           _types
import time:       140 |        163 |         types
import time:        32 |         32 |         _functools
import time:       415 |        609 |       functools
import time:       689 |       2355 |     contextlib
import time:       195 |       2549 |   _virtualenv
import time:       899 |        899 |       enum
import time:        45 |         45 |         _sre
import time:       181 |        181 |           re._constants
import time:       238 |        419 |         re._parser
import time:        68 |         68 |         re._casefix
import time:       220 |        751 |       re._compiler
import time:       112 |        112 |       copyreg
import time:       325 |       2085 |     re
import time:       413 |       2497 |   sitecustomize
import time:       486 |       7165 | site
import time:       147 |        147 | linecache
import time:      1090 |       1090 |   app
import time:       177 |        177 |       fnmatch
import time:       209 |        209 |       zlib
import time:        66 |         66 |           compression
import time:        81 |        147 |         compression._common
import time:       166 |        166 |           io
import time:       213 |        379 |         compression._common._streams
import time:       139 |        139 |         _bz2
import time:       167 |        830 |       bz2
import time:       159 |        159 |         _lzma
import time:       153 |        311 |       lzma
import time:       176 |        176 |         _zstd
import time:       155 |        155 |         compression.zstd._zstdfile
import time:       441 |        771 |       compression.zstd
import time:       438 |       2733 |     shutil
import time:       104 |        104 |     typer.colors
import time:        40 |         40 |                 _ast
import time:       244 |        284 |               ast
import time:       367 |        651 |             annotationlib
import time:        25 |         25 |                 _opcode
import time:       125 |        125 |                 _opcode_metadata
import time:       193 |        342 |               opcode
import time:       691 |       1033 |             dis
import time:       116 |        116 |               importlib
import time:        49 |        165 |             importlib.machinery
import time:        93 |         93 |               token
import time:        20 |         20 |               _tokenize
import time:       537 |        649 |             tokenize
import time:       122 |        122 |               _weakrefset
import time:       279 |        401 |             weakref
import time:      1693 |       4590 |           inspect
import time:        31 |         31 |             _typing
import time:      1807 |       1838 |           typing
import time:       130 |        130 |           typer.exceptions
import time:        27 |         27 |               _datetime
import time:        65 |         92 |             datetime
import time:       293 |        293 |             typer._click._compat
import time:        20 |         20 |                   _contextvars
import time:       410 |        429 |                 threading
import time:        89 |        517 |               typer._click.globals
import time:       197 |        197 |               typer._click.utils
import time:       239 |        952 |             typer._click.exceptions
import time:       441 |       1776 |           typer._click.types
import time:       200 |        200 |             typer._click.parser
import time:       322 |        522 |           typer._click.formatting
import time:       152 |        152 |           typer._click.termui
import time:       624 |       9629 |         typer._click.core
import time:        73 |       9702 |       typer._click
import time:        16 |       9717 |     typer._click.exceptions
import time:        41 |         41 |         _wmi
import time:       496 |        537 |       platform
import time:        52 |         52 |           _locale
import time:       459 |        510 |         locale
import time:       354 |        354 |         signal
import time:       424 |        424 |           _py_warnings
import time:       104 |        527 |         warnings
import time:       127 |        127 |         fcntl
import time:        40 |         40 |         msvcrt
import time:        80 |         80 |         _posixsubprocess
import time:        85 |         85 |         select
import time:       108 |        108 |           math
import time:       403 |        511 |         selectors
import time:       433 |       2663 |       subprocess
import time:       497 |        497 |         textwrap
import time:       111 |        111 |           __future__
import time:       113 |        223 |         codeop
import time:       105 |        105 |             copy
import time:       424 |        529 |           dataclasses
import time:      4101 |       4629 |         _colorize
import time:       698 |       6046 |       traceback
import time:        44 |         44 |           _winapi
import time:        30 |         30 |           nt
import time:        25 |         25 |           nt
import time:        25 |         25 |           nt
import time:        23 |         23 |           nt
import time:        23 |         23 |           nt
import time:        23 |         23 |           nt
import time:        23 |         23 |           nt
import time:       175 |        386 |         ntpath
import time:       279 |        279 |         glob
import time:        31 |         31 |         pwd
import time:       101 |        101 |         grp
import time:        39 |         39 |           _winapi
import time:       249 |        287 |         pathlib._os
import time:       502 |       1585 |       pathlib
import time:        40 |         40 |         _uuid
import time:       324 |        364 |       uuid
import time:       109 |        109 |         annotated_doc.main
import time:        81 |        189 |       annotated_doc
import time:       225 |        225 |         typer._click.shell_completion
import time:       166 |        391 |       typer._types
import time:       101 |        101 |       typer._typing
import time:       158 |        158 |             importlib._abc
import time:      1914 |       2071 |           importlib.util
import time:        95 |         95 |               shellingham._core
import time:        78 |        172 |             shellingham
import time:       243 |        415 |           typer._completion_shared
import time:       231 |       2716 |         typer._completion_classes
import time:       350 |        350 |         typer.models
import time:       146 |        146 |         typer.params
import time:       134 |        134 |         typer.utils
import time:       144 |       3489 |       typer.completion
import time:        90 |         90 |             _heapq
import time:       100 |        189 |           heapq
import time:       380 |        569 |         difflib
import time:       168 |        168 |         gettext
import time:       386 |       1122 |       typer.core
import time:       383 |      16864 |     typer.main
import time:       130 |      29546 |   typer
import time:       585 |      31220 | app.__main__
