import time: self [us] | cumulative | imported package
import time:       127 |        127 |   _io
import time:        23 |         23 |   marshal
import time:       217 |        217 |   posix
import time:       423 |        789 | _frozen_importlib_external
import time:        58 |         58 |   time
import time:       149 |        207 | zipimport
import time:        34 |         34 |     _codecs
import time:       409 |        443 |   codecs
import time:       273 |        273 |   encodings.aliases
import time:       364 |       1078 | encodings
import time:       128 |        128 | encodings.utf_8
import time:        63 |         63 | _signal
import time:        25 |         25 |       _abc
import time:       117 |        142 |     abc
import time:        28 |         28 |       _stat
import time:        65 |         92 |     stat
import time:       656 |        656 |     _collections_abc
import time:        40 |         40 |       errno
import time:        65 |         65 |       genericpath
import time:        96 |        201 |     posixpath
import time:       345 |       1433 |   os
import time:        67 |         67 |   _sitebuiltins
import time:       139 |        139 |   encodings.utf_8_sig
import time:        76 |         76 |         itertools
import time:        76 |         76 |         keyword
import time:        44 |         44 |           _operator
import time:       171 |        215 |         operator
import time:       105 |        105 |         reprlib
import time:        39 |         39 |         _collections
import time:       535 |       1043 |       collections
import time:        26 |         26 |           _types
import time:       165 |        191 |         types
import time:        37 |         37 |         _functools
import time:       459 |        685 |       functools
import time:       878 |       2605 |     contextlib
import time:       191 |       2796 |   _virtualenv
import time:       889 |        889 |       enum
import time:        48 |         48 |         _sre
import time:       882 |        882 |           re._constants
import time:       224 |       1106 |         re._parser
import time:        68 |         68 |         re._casefix
import time:       238 |       1458 |       re._compiler
import time:       109 |        109 |       copyreg
import time:       359 |       2814 |     re
import time:       446 |       3259 |   sitecustomize
import time:       511 |       8203 | site
import time:       149 |        149 | linecache
import time:       168 |        168 |       fnmatch
import time:       196 |        196 |       zlib
import time:        77 |         77 |           compression
import time:       278 |        354 |         compression._common
import time:       175 |        175 |           io
import time:       138 |        313 |         compression._common._streams
import time:       139 |        139 |         _bz2
import time:       166 |        970 |       bz2
import time:       161 |        161 |         _lzma
import time:       262 |        423 |       lzma
import time:       197 |        197 |         _zstd
import time:       168 |        168 |         compression.zstd._zstdfile
import time:       482 |        847 |       compression.zstd
import time:       467 |       3068 |     shutil
import time:       117 |        117 |     typer.colors
import time:      1300 |       1300 |                 _ast
import time:       437 |       1737 |               ast
import time:       399 |       2136 |             annotationlib
import time:        28 |         28 |                 _opcode
import time:       119 |        119 |                 _opcode_metadata
import time:       189 |        335 |               opcode
import time:       750 |       1084 |             dis
import time:       103 |        103 |               importlib
import time:        51 |        153 |             importlib.machinery
import time:       104 |        104 |               token
import time:        23 |         23 |               _tokenize
import time:       579 |        705 |             tokenize
import time:       117 |        117 |               _weakrefset
import time:       313 |        430 |             weakref
import time:      1368 |       5872 |           inspect
import time:        30 |         30 |             _typing
import time:      1683 |       1712 |           typing
import time:       129 |        129 |           typer.exceptions
import time:        31 |         31 |               _datetime
import time:        75 |        106 |             datetime
import time:       914 |        914 |             typer._click._compat
import time:        28 |         28 |                   _contextvars
import time:       602 |        629 |                 threading
import time:        91 |        720 |               typer._click.globals
import time:       214 |        214 |               typer._click.utils
import time:       263 |       1197 |             typer._click.exceptions
import time:       464 |       2680 |           typer._click.types
import time:       193 |        193 |             typer._click.parser
import time:       165 |        357 |           typer._click.formatting
import time:       149 |        149 |           typer._click.termui
import time:       593 |      11489 |         typer._click.core
import time:        74 |      11562 |       typer._click
import time:        16 |      11578 |     typer._click.exceptions
import time:        47 |         47 |         _wmi
import time:       711 |        757 |       platform
import time:        54 |         54 |           _locale
import time:       454 |        508 |         locale
import time:       380 |        380 |         signal
import time:       239 |        239 |           _py_warnings
import time:       105 |        344 |         warnings
import time:       125 |        125 |         fcntl
import time:        40 |         40 |         msvcrt
import time:       100 |        100 |         _posixsubprocess
import time:        96 |         96 |         select
import time:       108 |        108 |           math
import time:       371 |        478 |         selectors
import time:       420 |       2485 |       subprocess
import time:       522 |        522 |         textwrap
import time:       287 |        287 |           __future__
import time:       109 |        395 |         codeop
import time:       109 |        109 |             copy
import time:       425 |        533 |           dataclasses
import time:      4017 |       4549 |         _colorize
import time:      1371 |       6836 |       traceback
import time:        42 |         42 |           _winapi
import time:        28 |         28 |           nt
import time:        23 |         23 |           nt
import time:        23 |         23 |           nt
import time:        21 |         21 |           nt
import time:        21 |         21 |           nt
import time:        21 |         21 |           nt
import time:        21 |         21 |           nt
import time:       140 |        337 |         ntpath
import time:       286 |        286 |         glob
import time:        32 |         32 |         pwd
import time:       110 |        110 |         grp
import time:        38 |         38 |           _winapi
import time:       239 |        276 |         pathlib._os
import time:      3003 |       4041 |       pathlib
import time:        42 |         42 |         _uuid
import time:       292 |        333 |       uuid
import time:       106 |        106 |         annotated_doc.main
import time:        92 |        197 |       annotated_doc
import time:       218 |        218 |         typer._click.shell_completion
import time:       195 |        412 |       typer._types
import time:        97 |         97 |       typer._typing
import time:       114 |        114 |             importlib._abc
import time:       110 |        223 |           importlib.util
import time:        93 |         93 |               shellingham._core
import time:        75 |        168 |             shellingham
import time:       237 |        404 |           typer._completion_shared
import time:       173 |        799 |         typer._completion_classes
import time:       306 |        306 |         typer.models
import time:       148 |        148 |         typer.params
import time:       143 |        143 |         typer.utils
import time:       140 |       1533 |       typer.completion
import time:        97 |         97 |             _heapq
import time:       114 |        211 |           heapq
import time:       985 |       1196 |         difflib
import time:       193 |        193 |         gettext
import time:       568 |       1956 |       typer.core
import time:       358 |      19001 |     typer.main
import time:       123 |      33885 |   typer
import time:        12 |      33896 | typer.completion
import time:        74 |         74 |   app
import time:       156 |        230 | app.__main__
import time:       152 |        152 | shlex
import time:       108 |        108 | typer._click.decorators
